"Locus","Genot","Obs.Het","Exp.Het","P.value","s.d","Steps.done","islandpop","p.value.adjusted"
141,6,0.33333,0.54545,0.4811,5e-04,1001000,"halmahera.txt",1
142,10,0.4,0.44211,1,0,1001000,"halmahera.txt",1
144,7,0.42857,0.49451,1,0,1001000,"halmahera.txt",1
145,9,0.22222,0.47059,0.16842,0.00037,1001000,"halmahera.txt",1
146,5,0,0.53333,0.04702,0.00021,1001000,"halmahera.txt",1
147,12,0.25,0.48913,0.20448,0.00042,1001000,"halmahera.txt",1
148,8,0.375,0.325,1,0,1001000,"halmahera.txt",1
149,7,0.14286,0.49451,0.10483,0.00031,1001000,"halmahera.txt",1
150,8,0.125,0.125,1,0,1001000,"halmahera.txt",1
151,3,0.66667,0.53333,1,0,1001000,"halmahera.txt",1
152,11,0.09091,0.09091,1,0,1001000,"halmahera.txt",1
154,12,0.16667,0.28986,0.25441,0.00044,1001000,"halmahera.txt",1
155,10,0.2,0.33684,0.30627,0.00045,1001000,"halmahera.txt",1
156,4,0.25,0.53571,0.42773,5e-04,1001000,"halmahera.txt",1
158,9,0,0.47059,0.00476,7e-05,1001000,"halmahera.txt",1
159,12,0.41667,0.3442,1,0,1001000,"halmahera.txt",1
161,5,0,0.53333,0.04827,0.00022,1001000,"halmahera.txt",1
162,4,0,0.42857,0.14264,0.00033,1001000,"halmahera.txt",1
166,12,0.33333,0.28986,1,0,1001000,"halmahera.txt",1
170,2,0,0.66667,0.33285,0.00046,1001000,"halmahera.txt",1
171,7,0.14286,0.49451,0.10462,0.00031,1001000,"halmahera.txt",1
175,9,0.22222,0.47059,0.1679,0.00037,1001000,"halmahera.txt",1
176,6,0,0.30303,0.09146,0.00029,1001000,"halmahera.txt",1
179,10,0.1,0.39474,0.04618,2e-04,1001000,"halmahera.txt",1
183,11,0.09091,0.24675,0.1424,0.00035,1001000,"halmahera.txt",1
184,12,0.25,0.3442,0.40354,0.00047,1001000,"halmahera.txt",1
185,12,0.08333,0.22826,0.13028,0.00033,1001000,"halmahera.txt",1
190,8,0.125,0.125,1,0,1001000,"halmahera.txt",1
191,12,0.08333,0.22826,0.13011,0.00033,1001000,"halmahera.txt",1
194,10,0.1,0.39474,0.04697,0.00022,1001000,"halmahera.txt",1
196,6,0.33333,0.30303,1,0,1001000,"halmahera.txt",1
199,6,0,0.48485,0.02994,0.00017,1001000,"halmahera.txt",1
202,8,0.125,0.125,1,0,1001000,"halmahera.txt",1
203,9,0.44444,0.47059,1,0,1001000,"halmahera.txt",1
204,9,0.22222,0.52288,0.1721,4e-04,1001000,"halmahera.txt",1
205,8,0.375,0.525,0.5302,0.00049,1001000,"halmahera.txt",1
209,12,0.16667,0.3913,0.0893,0.00029,1001000,"halmahera.txt",1
210,11,0.09091,0.09091,1,0,1001000,"halmahera.txt",1
211,11,0.36364,0.41558,1,0,1001000,"halmahera.txt",1
212,10,0.2,0.44211,0.13346,0.00033,1001000,"halmahera.txt",1
213,10,0.3,0.52105,0.24557,0.00045,1001000,"halmahera.txt",1
215,11,0.27273,0.36797,0.43826,5e-04,1001000,"halmahera.txt",1
216,12,0.75,0.48913,0.0926,0.00031,1001000,"halmahera.txt",1
217,9,0,0.20915,0.05911,0.00024,1001000,"halmahera.txt",1
218,6,0,0.30303,0.09057,0.00029,1001000,"halmahera.txt",1
219,12,0,0.15942,0.04339,0.00021,1001000,"halmahera.txt",1
220,11,0.18182,0.31169,0.27869,0.00044,1001000,"halmahera.txt",1
221,9,0.11111,0.42484,0.05828,0.00023,1001000,"halmahera.txt",1
222,10,0.1,0.1,1,0,1001000,"halmahera.txt",1
224,12,0.41667,0.48913,1,0,1001000,"halmahera.txt",1
226,5,0.4,0.35556,1,0,1001000,"halmahera.txt",1
228,5,0.4,0.53333,1,0,1001000,"halmahera.txt",1
229,6,0.16667,0.5303,0.15108,0.00036,1001000,"halmahera.txt",1
230,6,0,0.48485,0.03059,0.00017,1001000,"halmahera.txt",1
232,7,0.28571,0.52747,0.43995,5e-04,1001000,"halmahera.txt",1
233,10,0.4,0.33684,1,0,1001000,"halmahera.txt",1
235,3,0.33333,0.6,1,0,1001000,"halmahera.txt",1
238,10,0.4,0.44211,1,0,1001000,"halmahera.txt",1
240,4,0.25,0.53571,0.42938,0.00049,1001000,"halmahera.txt",1
241,3,0,0.53333,0.20129,0.00041,1001000,"halmahera.txt",1
243,12,0.16667,0.28986,0.25482,0.00042,1001000,"halmahera.txt",1
245,3,0,0.53333,0.19968,0.00042,1001000,"halmahera.txt",1
247,10,0.1,0.47895,0.02168,0.00014,1001000,"halmahera.txt",1
248,10,0.1,0.26842,0.1584,0.00037,1001000,"halmahera.txt",1
249,9,0,0.47059,0.00458,7e-05,1001000,"halmahera.txt",1
251,12,0.41667,0.48913,1,0,1001000,"halmahera.txt",1
252,10,0,0.33684,0.00904,9e-05,1001000,"halmahera.txt",1
253,12,0.33333,0.28986,1,0,1001000,"halmahera.txt",1
257,11,0,0.17316,0.04722,0.00021,1001000,"halmahera.txt",1
259,8,0.125,0.125,1,0,1001000,"halmahera.txt",1
260,6,0.16667,0.5303,0.15118,0.00035,1001000,"halmahera.txt",1
261,11,0.09091,0.09091,1,0,1001000,"halmahera.txt",1
262,9,0,0.20915,0.05895,0.00023,1001000,"halmahera.txt",1
263,5,0,0.53333,0.04809,2e-04,1001000,"halmahera.txt",1
264,10,0,0.33684,0.00918,9e-05,1001000,"halmahera.txt",1
269,5,0.2,0.55556,0.36439,0.00047,1001000,"halmahera.txt",1
270,7,0.14286,0.36264,0.23043,0.00042,1001000,"halmahera.txt",1
272,11,0.18182,0.48485,0.0596,0.00024,1001000,"halmahera.txt",1
273,6,0.16667,0.5303,0.15119,0.00035,1001000,"halmahera.txt",1
276,9,0.55556,0.52941,1,0,1001000,"halmahera.txt",1
277,12,0.33333,0.28986,1,0,1001000,"halmahera.txt",1
278,8,0.125,0.45833,0.07657,0.00027,1001000,"halmahera.txt",1
281,11,0,0.17316,0.04715,0.00021,1001000,"halmahera.txt",1
282,11,0,0.41558,0.00221,5e-05,1001000,"halmahera.txt",1
1,21,0.14286,0.13589,1,0,1001000,"hatutaa.txt",1
2,21,0.2381,0.21487,1,0,1001000,"hatutaa.txt",1
3,19,0.42105,0.44381,1,0,1001000,"hatutaa.txt",1
5,21,0.52381,0.50755,1,0,1001000,"hatutaa.txt",1
9,21,0.57143,0.48316,0.64218,0.00047,1001000,"hatutaa.txt",1
10,21,0.33333,0.28455,1,0,1001000,"hatutaa.txt",1
11,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
18,19,0.73684,0.47795,0.03957,0.00019,1001000,"hatutaa.txt",1
21,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
24,10,0.2,0.33684,0.3063,0.00045,1001000,"hatutaa.txt",1
25,20,0.05,0.45,1e-04,1e-05,1001000,"hatutaa.txt",0.2582
33,21,0.14286,0.13589,1,0,1001000,"hatutaa.txt",1
41,14,0,0.50794,0.00012,1e-05,1001000,"hatutaa.txt",0.30948
45,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
46,21,0.47619,0.50174,1,0,1001000,"hatutaa.txt",1
49,20,0.25,0.35769,0.21358,0.00039,1001000,"hatutaa.txt",1
52,21,0.19048,0.17654,1,0,1001000,"hatutaa.txt",1
54,21,0.33333,0.28455,1,0,1001000,"hatutaa.txt",1
59,21,0.42857,0.39605,1,0,1001000,"hatutaa.txt",1
61,21,0.52381,0.49361,1,0,1001000,"hatutaa.txt",1
62,21,0.42857,0.34495,0.53257,5e-04,1001000,"hatutaa.txt",1
74,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
75,21,0.33333,0.39605,0.57903,0.00048,1001000,"hatutaa.txt",1
76,21,0.42857,0.47038,1,0,1001000,"hatutaa.txt",1
77,21,0.2381,0.47038,0.04846,0.00021,1001000,"hatutaa.txt",1
80,21,0.28571,0.37166,0.53976,0.00051,1001000,"hatutaa.txt",1
81,20,0.5,0.46667,1,0,1001000,"hatutaa.txt",1
86,7,0.42857,0.53846,1,0,1001000,"hatutaa.txt",1
87,12,0.41667,0.51812,0.59417,0.00048,1001000,"hatutaa.txt",1
90,21,0.19048,0.17654,1,0,1001000,"hatutaa.txt",1
93,21,0.33333,0.43786,0.32746,0.00049,1001000,"hatutaa.txt",1
102,20,0.55,0.40897,0.2559,0.00042,1001000,"hatutaa.txt",1
105,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
108,21,0.38095,0.41812,1,0,1001000,"hatutaa.txt",1
111,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
116,12,0.08333,0.08333,1,0,1001000,"hatutaa.txt",1
118,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
119,21,0.66667,0.45528,0.04744,0.00021,1001000,"hatutaa.txt",1
122,21,0.28571,0.31591,1,0,1001000,"hatutaa.txt",1
127,20,0.25,0.45,0.11316,3e-04,1001000,"hatutaa.txt",1
131,19,0.05263,0.05263,1,0,1001000,"hatutaa.txt",1
132,11,0.18182,0.17316,1,0,1001000,"hatutaa.txt",1
133,20,0.65,0.45,0.05758,0.00025,1001000,"hatutaa.txt",1
143,20,0.5,0.51282,1,0,1001000,"hatutaa.txt",1
146,21,0.47619,0.41812,0.63277,0.00049,1001000,"hatutaa.txt",1
147,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
149,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
151,19,0.21053,0.19346,1,0,1001000,"hatutaa.txt",1
158,20,0.05,0.05,1,0,1001000,"hatutaa.txt",1
159,21,0.33333,0.34495,1,0,1001000,"hatutaa.txt",1
166,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
170,21,0.33333,0.43786,0.32604,0.00048,1001000,"hatutaa.txt",1
171,21,0.42857,0.47038,1,0,1001000,"hatutaa.txt",1
176,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
180,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
182,21,0.66667,0.45528,0.0478,0.00022,1001000,"hatutaa.txt",1
184,21,0.57143,0.51103,0.67535,0.00046,1001000,"hatutaa.txt",1
185,21,0,0.09292,0.02441,0.00015,1001000,"hatutaa.txt",1
187,21,0.28571,0.25087,1,0,1001000,"hatutaa.txt",1
188,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
196,21,0.2381,0.28455,0.4479,0.00051,1001000,"hatutaa.txt",1
201,18,0,0.10794,0.02833,0.00017,1001000,"hatutaa.txt",1
202,21,0.09524,0.09292,1,0,1001000,"hatutaa.txt",1
209,21,0.42857,0.43786,1,0,1001000,"hatutaa.txt",1
210,21,0.33333,0.39605,0.5779,0.00051,1001000,"hatutaa.txt",1
216,19,0.73684,0.51209,0.07565,0.00026,1001000,"hatutaa.txt",1
220,21,0.28571,0.45528,0.13738,0.00033,1001000,"hatutaa.txt",1
221,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
226,21,0.66667,0.45528,0.04797,0.00021,1001000,"hatutaa.txt",1
235,20,0.6,0.49231,0.38508,0.00048,1001000,"hatutaa.txt",1
240,21,0.38095,0.45528,0.62404,5e-04,1001000,"hatutaa.txt",1
241,21,0.47619,0.45528,1,0,1001000,"hatutaa.txt",1
243,21,0.42857,0.34495,0.53281,0.00051,1001000,"hatutaa.txt",1
245,15,0.13333,0.33103,0.05494,0.00023,1001000,"hatutaa.txt",1
246,21,0.38095,0.51103,0.38055,0.00047,1001000,"hatutaa.txt",1
248,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
249,21,0.47619,0.50174,1,0,1001000,"hatutaa.txt",1
251,21,0.19048,0.25087,0.33942,0.00046,1001000,"hatutaa.txt",1
253,21,0.47619,0.48316,1,0,1001000,"hatutaa.txt",1
263,21,0.19048,0.25087,0.33803,0.00049,1001000,"hatutaa.txt",1
265,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
269,21,0.19048,0.45528,0.0116,0.00011,1001000,"hatutaa.txt",1
274,21,0.38095,0.45528,0.62396,0.00049,1001000,"hatutaa.txt",1
275,21,0.47619,0.48316,1,0,1001000,"hatutaa.txt",1
277,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
278,21,0.04762,0.04762,1,0,1001000,"hatutaa.txt",1
1,20,0.1,0.09744,1,0,1001000,"honuea.txt",1
5,20,0.3,0.26154,1,0,1001000,"honuea.txt",1
10,20,0.2,0.18462,1,0,1001000,"honuea.txt",1
17,20,0.05,0.05,1,0,1001000,"honuea.txt",1
21,20,0.05,0.05,1,0,1001000,"honuea.txt",1
24,10,0.1,0.26842,0.15766,0.00036,1001000,"honuea.txt",1
25,20,0.2,0.26154,0.35327,0.00048,1001000,"honuea.txt",1
44,20,0.05,0.05,1,0,1001000,"honuea.txt",1
46,20,0.15,0.14231,1,0,1001000,"honuea.txt",1
54,20,0.3,0.50769,0.08553,0.00029,1001000,"honuea.txt",1
59,20,0.35,0.35769,1,0,1001000,"honuea.txt",1
74,20,0.35,0.29615,1,0,1001000,"honuea.txt",1
75,20,0.4,0.43077,1,0,1001000,"honuea.txt",1
84,20,0.05,0.05,1,0,1001000,"honuea.txt",1
86,3,0.66667,0.53333,1,0,1001000,"honuea.txt",1
87,9,0.44444,0.47059,1,0,1001000,"honuea.txt",1
92,20,0.05,0.05,1,0,1001000,"honuea.txt",1
93,20,0.15,0.29615,0.06911,0.00025,1001000,"honuea.txt",1
100,18,0,0.10794,0.02913,0.00017,1001000,"honuea.txt",1
108,19,0.15789,0.14936,1,0,1001000,"honuea.txt",1
116,14,0.07143,0.07143,1,0,1001000,"honuea.txt",1
119,20,0.4,0.32821,0.54921,0.00048,1001000,"honuea.txt",1
122,20,0.6,0.51282,0.65508,0.00046,1001000,"honuea.txt",1
127,19,0,0.44381,1e-05,0,1001000,"honuea.txt",0.02613
132,4,0,0.42857,0.14286,0.00035,1001000,"honuea.txt",1
133,20,0.25,0.22436,1,0,1001000,"honuea.txt",1
143,20,0.6,0.49231,0.38452,0.00049,1001000,"honuea.txt",1
149,19,0.31579,0.27312,1,0,1001000,"honuea.txt",1
154,20,0,0.09744,0.02579,0.00016,1001000,"honuea.txt",1
157,5,0.2,0.46667,0.33331,0.00049,1001000,"honuea.txt",1
166,20,0.2,0.18462,1,0,1001000,"honuea.txt",1
172,19,0.05263,0.05263,1,0,1001000,"honuea.txt",1
175,20,0.05,0.05,1,0,1001000,"honuea.txt",1
182,20,1,0.51282,0,0,1001000,"honuea.txt",0
188,20,0.05,0.05,1,0,1001000,"honuea.txt",1
196,20,0.15,0.14231,1,0,1001000,"honuea.txt",1
203,20,0,0.18462,0.00218,5e-05,1001000,"honuea.txt",1
209,20,0.15,0.14231,1,0,1001000,"honuea.txt",1
220,19,0.15789,0.37127,0.02766,0.00016,1001000,"honuea.txt",1
224,20,0.1,0.09744,1,0,1001000,"honuea.txt",1
230,20,0.3,0.26154,1,0,1001000,"honuea.txt",1
241,20,0.5,0.46667,1,0,1001000,"honuea.txt",1
245,7,0.42857,0.49451,1,0,1001000,"honuea.txt",1
246,19,0.31579,0.44381,0.29049,0.00045,1001000,"honuea.txt",1
248,20,0.05,0.05,1,0,1001000,"honuea.txt",1
249,19,0.52632,0.39829,0.26399,0.00041,1001000,"honuea.txt",1
251,20,0.15,0.14231,1,0,1001000,"honuea.txt",1
263,20,0.15,0.14231,1,0,1001000,"honuea.txt",1
268,20,0.6,0.46667,0.32815,0.00048,1001000,"honuea.txt",1
273,20,0.5,0.50769,1,0,1001000,"honuea.txt",1
275,20,0.2,0.18462,1,0,1001000,"honuea.txt",1
278,20,0.05,0.05,1,0,1001000,"honuea.txt",1
4,20,0,0.09744,0.02601,0.00016,1001000,"kaikura_island.txt",1
9,20,0.35,0.50128,0.20511,0.00041,1001000,"kaikura_island.txt",1
10,19,0.31579,0.44381,0.29186,0.00047,1001000,"kaikura_island.txt",1
11,20,0.6,0.51282,0.65312,0.00047,1001000,"kaikura_island.txt",1
14,20,0,0.09744,0.02586,0.00015,1001000,"kaikura_island.txt",1
24,11,0.18182,0.17316,1,0,1001000,"kaikura_island.txt",1
25,16,0.1875,0.49798,0.03065,0.00017,1001000,"kaikura_island.txt",1
32,20,0.35,0.29615,1,0,1001000,"kaikura_island.txt",1
33,19,0.42105,0.51209,0.645,0.00049,1001000,"kaikura_island.txt",1
38,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
41,20,0,0.38462,1e-05,0,1001000,"kaikura_island.txt",0.02613
46,19,0.42105,0.44381,1,0,1001000,"kaikura_island.txt",1
54,20,0.25,0.22436,1,0,1001000,"kaikura_island.txt",1
59,20,0.3,0.32821,1,0,1001000,"kaikura_island.txt",1
61,20,0.1,0.09744,1,0,1001000,"kaikura_island.txt",1
62,20,0.4,0.38462,1,0,1001000,"kaikura_island.txt",1
63,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
72,18,0.22222,0.20317,1,0,1001000,"kaikura_island.txt",1
74,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
75,20,0.5,0.38462,0.27639,0.00045,1001000,"kaikura_island.txt",1
76,19,0.42105,0.50071,0.64234,0.00047,1001000,"kaikura_island.txt",1
77,20,0.3,0.46667,0.15042,0.00038,1001000,"kaikura_island.txt",1
80,20,0.25,0.22436,1,0,1001000,"kaikura_island.txt",1
81,20,0.4,0.32821,0.54841,0.00051,1001000,"kaikura_island.txt",1
86,11,0.27273,0.50649,0.21517,0.00041,1001000,"kaikura_island.txt",1
87,9,0.22222,0.36601,0.34095,0.00046,1001000,"kaikura_island.txt",1
90,20,0.6,0.49231,0.38399,0.00049,1001000,"kaikura_island.txt",1
93,18,0.33333,0.50794,0.17944,0.00037,1001000,"kaikura_island.txt",1
95,20,0.25,0.50128,0.03109,0.00017,1001000,"kaikura_island.txt",1
97,13,0.15385,0.14769,1,0,1001000,"kaikura_island.txt",1
98,18,0.5,0.38571,0.52444,0.00051,1001000,"kaikura_island.txt",1
100,19,0,0.10242,0.02701,0.00015,1001000,"kaikura_island.txt",1
102,18,0.33333,0.48889,0.31511,0.00045,1001000,"kaikura_island.txt",1
104,19,0.05263,0.05263,1,0,1001000,"kaikura_island.txt",1
105,19,0.15789,0.14936,1,0,1001000,"kaikura_island.txt",1
107,20,0,0.26154,0.00039,2e-05,1001000,"kaikura_island.txt",1
108,20,0.5,0.46667,1,0,1001000,"kaikura_island.txt",1
116,11,0.09091,0.24675,0.14444,0.00034,1001000,"kaikura_island.txt",1
127,19,0.05263,0.30868,0.00243,5e-05,1001000,"kaikura_island.txt",1
131,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
132,13,0,0.14769,0.03989,0.00019,1001000,"kaikura_island.txt",1
133,20,0.85,0.50128,0.0017,4e-05,1001000,"kaikura_island.txt",1
141,20,0.4,0.49231,0.63783,0.00047,1001000,"kaikura_island.txt",1
155,20,0,0.09744,0.0252,0.00016,1001000,"kaikura_island.txt",1
156,15,0.06667,0.18621,0.10245,0.00029,1001000,"kaikura_island.txt",1
158,16,0.0625,0.1754,0.09697,0.00029,1001000,"kaikura_island.txt",1
159,20,0.25,0.35769,0.21372,4e-04,1001000,"kaikura_island.txt",1
169,20,0.55,0.48077,0.64786,0.00049,1001000,"kaikura_island.txt",1
171,20,0.5,0.43077,0.61847,0.00046,1001000,"kaikura_island.txt",1
176,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
180,20,0.15,0.14231,1,0,1001000,"kaikura_island.txt",1
182,13,0.53846,0.40923,0.49895,0.00049,1001000,"kaikura_island.txt",1
184,20,0.3,0.26154,1,0,1001000,"kaikura_island.txt",1
185,18,0,0.10794,0.02842,0.00016,1001000,"kaikura_island.txt",1
187,20,0.4,0.49231,0.63872,0.00047,1001000,"kaikura_island.txt",1
196,19,0.21053,0.27312,0.36956,0.00048,1001000,"kaikura_island.txt",1
202,15,0.4,0.4046,1,0,1001000,"kaikura_island.txt",1
203,16,0,0.22581,0.00337,6e-05,1001000,"kaikura_island.txt",1
209,20,0.15,0.14231,1,0,1001000,"kaikura_island.txt",1
210,19,0.57895,0.50782,0.65608,0.00049,1001000,"kaikura_island.txt",1
216,16,0.3125,0.27218,1,0,1001000,"kaikura_island.txt",1
220,19,0.15789,0.30868,0.07647,0.00028,1001000,"kaikura_island.txt",1
226,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
235,19,0.52632,0.47795,1,0,1001000,"kaikura_island.txt",1
238,20,0,0.09744,0.02528,0.00016,1001000,"kaikura_island.txt",1
241,20,0.5,0.46667,1,0,1001000,"kaikura_island.txt",1
243,19,0.31579,0.47795,0.16737,0.00036,1001000,"kaikura_island.txt",1
245,12,0,0.28986,0.00619,8e-05,1001000,"kaikura_island.txt",1
249,19,0.57895,0.42248,0.25422,0.00041,1001000,"kaikura_island.txt",1
250,20,0.25,0.29615,0.46894,0.00052,1001000,"kaikura_island.txt",1
251,20,0.25,0.22436,1,0,1001000,"kaikura_island.txt",1
253,20,0.25,0.22436,1,0,1001000,"kaikura_island.txt",1
258,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
263,20,0.05,0.05,1,0,1001000,"kaikura_island.txt",1
266,19,0.26316,0.23471,1,0,1001000,"kaikura_island.txt",1
267,20,0.4,0.38462,1,0,1001000,"kaikura_island.txt",1
271,20,0.5,0.50769,1,0,1001000,"kaikura_island.txt",1
274,20,0.3,0.38462,0.54374,5e-04,1001000,"kaikura_island.txt",1
275,20,0.4,0.43077,1,0,1001000,"kaikura_island.txt",1
2,20,0.6,0.43077,0.11843,0.00031,1001000,"kamaka.txt",1
3,21,0,0.09292,0.02438,0.00016,1001000,"kamaka.txt",1
7,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
8,21,0,0.09292,0.02435,0.00016,1001000,"kamaka.txt",1
9,20,0.35,0.45,0.3492,0.00047,1001000,"kamaka.txt",1
11,20,0.1,0.09744,1,0,1001000,"kamaka.txt",1
14,21,0.04762,0.13589,0.07333,0.00027,1001000,"kamaka.txt",1
22,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
24,12,0.08333,0.22826,0.13203,0.00035,1001000,"kamaka.txt",1
25,16,0.1875,0.46573,0.02554,0.00016,1001000,"kamaka.txt",1
26,21,0,0.09292,0.02401,0.00015,1001000,"kamaka.txt",1
30,21,0,0.09292,0.02399,0.00015,1001000,"kamaka.txt",1
32,19,0.42105,0.51209,0.64439,0.00048,1001000,"kamaka.txt",1
33,21,0.47619,0.50174,1,0,1001000,"kamaka.txt",1
35,18,0.11111,0.10794,1,0,1001000,"kamaka.txt",1
38,21,0.14286,0.13589,1,0,1001000,"kamaka.txt",1
39,21,0,0.09292,0.02512,0.00016,1001000,"kamaka.txt",1
41,12,0,0.15942,0.0438,2e-04,1001000,"kamaka.txt",1
42,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
44,21,0,0.09292,0.02448,0.00016,1001000,"kamaka.txt",1
45,21,0,0.09292,0.02415,0.00015,1001000,"kamaka.txt",1
46,21,0.52381,0.50755,1,0,1001000,"kamaka.txt",1
47,21,0,0.09292,0.02419,0.00016,1001000,"kamaka.txt",1
53,21,0.14286,0.13589,1,0,1001000,"kamaka.txt",1
63,21,0.04762,0.13589,0.07319,0.00027,1001000,"kamaka.txt",1
64,21,0,0.09292,0.02453,0.00016,1001000,"kamaka.txt",1
66,20,0.45,0.35769,0.52781,0.00052,1001000,"kamaka.txt",1
67,20,0,0.09744,0.02579,0.00016,1001000,"kamaka.txt",1
74,21,0.2381,0.21487,1,0,1001000,"kamaka.txt",1
76,21,0.28571,0.25087,1,0,1001000,"kamaka.txt",1
80,21,0.2381,0.21487,1,0,1001000,"kamaka.txt",1
86,9,0.44444,0.52288,1,0,1001000,"kamaka.txt",1
87,11,0.36364,0.48485,0.53765,0.00051,1001000,"kamaka.txt",1
90,20,0.55,0.48077,0.64655,0.00046,1001000,"kamaka.txt",1
92,20,0.05,0.05,1,0,1001000,"kamaka.txt",1
95,21,0.19048,0.31591,0.11711,0.00033,1001000,"kamaka.txt",1
97,17,0.17647,0.16578,1,0,1001000,"kamaka.txt",1
98,18,0.05556,0.05556,1,0,1001000,"kamaka.txt",1
100,17,0,0.11408,0.03004,0.00017,1001000,"kamaka.txt",1
102,17,0.05882,0.05882,1,0,1001000,"kamaka.txt",1
105,19,0.36842,0.4623,0.60721,0.00048,1001000,"kamaka.txt",1
107,20,0,0.09744,0.02575,0.00015,1001000,"kamaka.txt",1
108,20,0,0.09744,0.02576,0.00016,1001000,"kamaka.txt",1
111,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
118,21,0.61905,0.47038,0.1835,0.00038,1001000,"kamaka.txt",1
119,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
122,20,0.45,0.48077,1,0,1001000,"kamaka.txt",1
123,21,0,0.09292,0.02448,0.00014,1001000,"kamaka.txt",1
127,21,0.04762,0.49361,2e-05,0,1001000,"kamaka.txt",0.05198
130,20,0.4,0.49231,0.63787,0.00049,1001000,"kamaka.txt",1
132,7,0,0.26374,0.07645,0.00027,1001000,"kamaka.txt",1
133,21,0.42857,0.34495,0.53204,0.00052,1001000,"kamaka.txt",1
135,21,0.42857,0.49361,0.65875,0.00046,1001000,"kamaka.txt",1
136,20,0.05,0.05,1,0,1001000,"kamaka.txt",1
144,21,0,0.09292,0.02417,0.00015,1001000,"kamaka.txt",1
145,21,0,0.09292,0.02427,0.00015,1001000,"kamaka.txt",1
146,20,0.3,0.32821,1,0,1001000,"kamaka.txt",1
147,21,0.04762,0.13589,0.07334,0.00025,1001000,"kamaka.txt",1
148,21,0,0.09292,0.02427,0.00016,1001000,"kamaka.txt",1
149,21,0.42857,0.43786,1,0,1001000,"kamaka.txt",1
150,21,0,0.09292,0.02381,0.00016,1001000,"kamaka.txt",1
154,21,0,0.09292,0.02459,0.00016,1001000,"kamaka.txt",1
157,7,0.42857,0.49451,1,0,1001000,"kamaka.txt",1
158,18,0.05556,0.05556,1,0,1001000,"kamaka.txt",1
159,20,0.3,0.50769,0.08524,0.00029,1001000,"kamaka.txt",1
162,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
164,20,0,0.09744,0.02539,0.00017,1001000,"kamaka.txt",1
165,21,0,0.09292,0.02478,0.00015,1001000,"kamaka.txt",1
166,21,0.14286,0.13589,1,0,1001000,"kamaka.txt",1
170,20,0.35,0.48077,0.3395,0.00045,1001000,"kamaka.txt",1
171,20,0.35,0.35769,1,0,1001000,"kamaka.txt",1
172,19,0,0.10242,0.02699,0.00015,1001000,"kamaka.txt",1
174,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
175,20,0.05,0.05,1,0,1001000,"kamaka.txt",1
179,21,0.04762,0.04762,1,0,1001000,"kamaka.txt",1
181,20,0.55,0.50128,1,0,1001000,"kamaka.txt",1
182,19,0.52632,0.39829,0.26302,0.00043,1001000,"kamaka.txt",1
184,21,0.47619,0.45528,1,0,1001000,"kamaka.txt",1
185,18,0.05556,0.05556,1,0,1001000,"kamaka.txt",1
188,21,0.2381,0.28455,0.44816,0.00049,1001000,"kamaka.txt",1
196,21,0,0.09292,0.02444,0.00016,1001000,"kamaka.txt",1
203,21,0,0.09292,0.02469,0.00016,1001000,"kamaka.txt",1
205,21,0,0.09292,0.02386,0.00015,1001000,"kamaka.txt",1
210,21,0,0.09292,0.02405,0.00015,1001000,"kamaka.txt",1
212,21,0,0.09292,0.02411,0.00014,1001000,"kamaka.txt",1
213,21,0,0.09292,0.02467,0.00015,1001000,"kamaka.txt",1
215,21,0,0.09292,0.02447,0.00015,1001000,"kamaka.txt",1
216,20,0.65,0.48077,0.16294,0.00038,1001000,"kamaka.txt",1
